題目,答案,答對回饋,答錯回饋,提示
"ENHYPEN 是透過哪個韓國選秀節目最終選拔出來的七人男子團體？","I-LAND","答對了！很棒！","再想想看喔！","不是喔"
"請問 ENHYPEN 總共有幾位成員？","7","沒錯！","不對喔","五位以上"
"ENHYPEN 的隊長是哪一位成員？","梁禎元","答對了！","不對喔","貓咪相"
"ENHYPEN 的粉絲名稱是什麼？","ENGENE","答對了！","不對喔","跟引擎有關"
"ENHYPEN 的大哥是誰？","李羲承","沒錯！","再猜猜","Heeseung"
"哪位成員曾是花式滑冰選手？","朴成訓","答對了！很棒！","不對喔","Sunghoon"
"ENHYPEN 的忙內（年紀最小）是誰？","NI-KI","沒錯！","不對喔","來自日本"
"成員 JAY 的代表動物是什麼？","老鷹","答對了！","不對喔","或是黑貓"
"成員 SUNOO 的代表表情符號通常是什麼？","狐狸","沒錯！","再猜猜","很可愛的動物"
"ENHYPEN 的出道日期是哪一年？","2020","答對了！","不對喔","疫情開始那年"
